username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink
SachinKasargod,11/17/16 2:08,0,0,Demonetization of 500/1000 ======================== Many have asked me to give my views on demonetization ,,,,,
joshics,11/17/16 2:08,0,0,#demonetization wud prove 2 B effective antidote administered by an expert 4 D #BlackMoney venom spread throughout D blood of #indiansociety,,,#demonetization #BlackMoney #indiansociety,7.99192E+17,https://twitter.com/joshics/status/799192489345372160
DanceEatRepeat,11/17/16 2:08,0,1,@eti2806 i support demonetization ...not bhakt,,@eti2806,,7.99192E+17,https://twitter.com/DanceEatRepeat/status/799192449805471744
tyagi_bunty,11/17/16 2:07,0,0,LG says there is sufficient cash in banks n people must be patient n not lose their composure while transacting business #demonetization,,,#demonetization,7.99192E+17,https://twitter.com/tyagi_bunty/status/799192323863285760
agrostar_in,11/17/16 2:07,0,0,Read how @NABARD can come up and help reduce cash crunch in rural India http:// bit.ly/2fYqwaz @IndianExpress #Agriculture #demonetization,,@NABARD @IndianExpress,#Agriculture #demonetization,7.99192E+17,https://twitter.com/agrostar_in/status/799192314186870788
brighterkashmir,11/17/16 2:07,0,0,Uri attack compared with Govt's demonetization move by G.N. Azad in RS http:// fb.me/1H22qRBnx,,,,7.99192E+17,https://twitter.com/brighterkashmir/status/799192283845300224
CIOin,11/17/16 2:07,0,1,#Modi 's #demonetization dictum has potential to transform #India into a digital economy. And opinion by @yogsyogi1 http://www. cio.in/opinion/modi-d emonetization-and-smac â€_ pic.twitter.com/BPDtZBCPvi,,@yogsyogi1,#Modi #demonetization #India,7.99192E+17,https://twitter.com/CIOin/status/799192253742747648
livemint,11/17/16 2:07,3,5,Paytm seeks to cash in on demonetization with advertising blitz http:// bit.ly/2fI6pwQ,,,,7.99192E+17,https://twitter.com/livemint/status/799192181047169024
i_Nrao,11/17/16 2:07,1,3,Whom you are supporting on Demonetization #HaanikaarakBapu #StopDemonitisation,,,#HaanikaarakBapu #StopDemonitisation,7.99192E+17,https://twitter.com/i_Nrao/status/799192174181158912
CholericCleric,11/17/16 2:06,5,6,Modi's timing for #demonetization was perfect. Saalon ke paas awards bhi nahin bachey wapis karne ke liye.,,,#demonetization,7.99192E+17,https://twitter.com/CholericCleric/status/799192045713768448
chotivalebaba,11/17/16 2:06,1,1,Demonetization of Rs 500 and Rs 1,,,,,
AficionadoYash,11/17/16 2:06,0,0,Paytm seeks to cash in on demonetization with advertising blitz,,,,7.99192E+17,https://twitter.com/AficionadoYash/status/799191917091323904
TWEETmrinmoy,11/17/16 2:05,0,0,http://www. cashnocash.com allows a user to search the nearest #ATMs based on their current location...1/3 #DeMonetization #CashNoCash,,,#ATMs #DeMonetization #CashNoCash,7.99192E+17,https://twitter.com/TWEETmrinmoy/status/799191759683080192
shashankdhamane,11/17/16 2:05,2,3,Time has come to slap @ArvindKejriwal @TrollKejri . I can pay 1,,,,,
imsyedsuhail,11/17/16 2:05,0,0,Can this be taken as mini referendum on the demonetization of rs 500 & 1k notes? https:// twitter.com/CNNnews18/stat us/799190346571874305 â€_,,,,7.99192E+17,https://twitter.com/imsyedsuhail/status/799191706243473409
natkhat,11/17/16 2:05,0,0,Before demonetization After demonetization pic.twitter.com/LqwVb3OKkY,,,,7.99192E+17,https://twitter.com/natkhat/status/799191699197083649
jaideepSTOI,11/17/16 2:05,0,0,New doubt for commerce students is cash in hand an asset or liability.. #demonetization,,,#demonetization,7.99192E+17,https://twitter.com/jaideepSTOI/status/799191698366726144
dna,11/17/16 2:05,2,7,Madhya Pradesh: Nov 19 by-polls first litmus test for BJP after demonetization http:// dnai.in/dF6D,,,,7.99192E+17,https://twitter.com/dna/status/799191694348455936
SweetyPanth,11/17/16 2:05,0,3,Proud of @PMOIndia for this decision #demonetization is the way to go! #SwachhBharat,,@PMOIndia,#demonetization #SwachhBharat,7.99192E+17,https://twitter.com/SweetyPanth/status/799191682554044416
MinhazMerchant,11/17/16 2:05,452,511,Bill Gates joins global & Indian business leaders backing #demonetization pic.twitter.com/tR4QDWIKyc,,,#demonetization,7.99192E+17,https://twitter.com/MinhazMerchant/status/799191669497352192
