username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Mr_Cheers;2016-11-14 10:24;0;0;"Big Breaking! Modi’s demonetization Drive has destroyed Terror Networks in Kashmir http:// indiaarising.com/big-breaking-m odis-demonetization-drive-destroyed-terror-networks-kashmir/ …";;;;"798230256586919936";https://twitter.com/Mr_Cheers/status/798230256586919936
dilon;2016-11-14 10:24;0;0;"P8 - #currency #demonetization next two days the ATM's as well as banks were closed and i didn't had any option of withdrawing csh by any";;;#currency #demonetization;"798230164538699776";https://twitter.com/dilon/status/798230164538699776
Himmat_Hai;2016-11-14 10:24;0;0;"In J&K bank alone Rs 1100 Cr deposited in 4 days of demonetization .This when business in Srinagar etc have been shut down 4 last 5 months!";;;;"798230129965146112";https://twitter.com/Himmat_Hai/status/798230129965146112
tarun_bhuyan;2016-11-14 10:24;1;1;"How it gets going,reached to this bitter pill #Demonetization @narendramodi @Swamy39 @sagenaradamuni @RahulSinhaZee pic.twitter.com/6lmuH04PK1";;@narendramodi @Swamy39 @sagenaradamuni @RahulSinhaZee;#Demonetization;"798230070431084544";https://twitter.com/tarun_bhuyan/status/798230070431084544
hindujedi;2016-11-14 10:24;0;0;"You Will be Shocked to Know What Has Happened to Naxals and Maoists After Demonetization of Old Notes! http:// postcard.news/will-shocked-k now-happened-naxals-maoists-demonetization-old-notes/ …";;;;"798230041012277248";https://twitter.com/hindujedi/status/798230041012277248
sunitarora;2016-11-14 10:23;3;7;"have been going on and on about demonetization . it's just that I haven't seen a bigger mess up in my lifetime. that makes me anxious, angry.";;;;"798229918358249474";https://twitter.com/sunitarora/status/798229918358249474
MenRightsBarai;2016-11-14 10:23;0;0;"Demonetization : Odisha braves it out as rest struggles http:// toi.in/zk2k1Y80/a18cg State CM support to PM moved entire state.. @Naveen_Odisha";;@Naveen_Odisha;;"798229876603895808";https://twitter.com/MenRightsBarai/status/798229876603895808
AskAnshul;2016-11-14 10:23;78;99;"Fact: Akodara is India’s first digital village where people do e-banking for everything and they're comfortably dealing with demonetization .";;;;"798229852109189121";https://twitter.com/AskAnshul/status/798229852109189121
vijaysardana;2016-11-14 10:23;0;0;"Is decision of demonetization shut the business of vote bank? | Part I https:// youtu.be/4NZpFL6kSh8 via @YouTube";;@YouTube;;"798229844001554432";https://twitter.com/vijaysardana/status/798229844001554432
palashbiswaskl;2016-11-14 10:22;0;0;"#Demonetization to herald fresh calamities.No respite!... http:// fb.me/30yyk9JWh";;;#Demonetization;"798229561439907840";https://twitter.com/palashbiswaskl/status/798229561439907840
MahatoDilip;2016-11-14 10:21;0;0;"#Demonetization is a nightmare for these politicians http://www. thefrustratedindian.com/2016/11/demone tization-mamata-kerjiwal/ … via @frustindian";;@frustindian;#Demonetization;"798229464568107008";https://twitter.com/MahatoDilip/status/798229464568107008
jagskhara;2016-11-14 10:21;0;0;"As long as the ruling party is not hrlping its own people its a step in the right dirrction. #demonetization .";;;#demonetization;"798229417382146048";https://twitter.com/jagskhara/status/798229417382146048
rs_acharya;2016-11-14 10:21;0;0;"Prime Minsiter: WE WELCOME DEMONETIZATION - Sign the Petition! http:// ln.is/www.change.org /p/OhUiw … via @ChangeOrg_India";;@ChangeOrg_India;;"798229400848400385";https://twitter.com/rs_acharya/status/798229400848400385
AnooBhu;2016-11-14 10:21;14;8;"Guys.Youre going to miss demonetization when its gone.When its gone it will be because of some tragedy probably.&this comedy will be missed. pic.twitter.com/hUs6vyhqja";;;;"798229385127989250";https://twitter.com/AnooBhu/status/798229385127989250
